tipo,codigo,descripcion
Señal reglamentaria ,sr-01 ,pare      
Señal reglamentaria ,sr-02 ,ceda el paso 
Señal reglamentaria ,sr-03 ,siga de frente
Señal reglamentaria ,sr-04 ,no pase
Señal reglamentaria ,sr-05 ,giro a la izquierda solamente
Señal reglamentaria ,sr-06   ,prohibido girar a a la izquierda  
Señal reglamentaria ,sr-07 ,giro a la derecha solamente 
Señal reglamentaria ,sr-08 ,prohibido girar a la derecha
Señal reglamentaria ,sr-09,giro en u solamente
Señal reglamentaria ,sr-10 ,prohibido girar en “u”
Señal reglamentaria ,sr-11,doble via 
Señal reglamentaria ,sr-12 ,tres carriles uno en contraflujo 
Señal reglamentaria ,sr-13  ,tres carriles dos en contraflujo
Señal reglamentaria ,sr-14 ,prohibido el cambio de calzada izquierda derecha
Señal reglamentaria ,sr-14a ,prohibido el cambio de calzada derecha izquierda
Señal reglamentaria ,sr-16 ,circulacion prohibida de vehiculos automotores 
Señal reglamentaria ,sr-17 ,vehiculos pesados a la derecha 
Señal reglamentaria ,sr-18 ,circulacion prohibida de vehiculos de carga 
Señal reglamentaria ,sr-19 ,peatones a la izquierda 
Señal reglamentaria ,sr-20 ,circulacion prohibida de peatones 
Señal reglamentaria ,sr-21 ,circulacion prohibida de cabalgaduras 
Señal reglamentaria ,sr-22 ,circula cion prohibida de bicicletas 
Señal reglamentaria ,sr-23,circulacion prohibida de motocicletas 
Señal reglamentaria ,sr-24,circulacion prohibida de maquinaria agricola 
Señal reglamentaria ,sr-25 ,circulacion prohibida de vehiculos de traccion animal
Señal reglamentaria ,sr-26 ,prohibido adelantar
Señal reglamentaria ,sr-28 ,prohibido parquear
Señal reglamentaria ,sr-28a,no parquear ni detenerse
Señal reglamentaria ,sr-29 ,prohibido pitar 
Señal reglamentaria ,sr-30 ,velocidad maxima permitida
Señal reglamentaria ,sr-30a ,velocidad minima permitida   
Señal reglamentaria ,sr-30b ,velocidad maxima permitida salida 
Señal reglamentaria ,sr-31 ,peso maximo total permitido 
Señal reglamentaria ,sr-32 ,altura maxima permitida 
Señal reglamentaria ,sr-33,ancho maximo permitido 
Señal reglamentaria ,sr-34  ,zona de estacionamiento de taxi  
Señal reglamentaria ,sr-35,circulación con luces bajas  
Señal reglamentaria ,sr-36 ,retén 
Señal reglamentaria ,sr-38 ,sentido unico de circulacion  
Señal reglamentaria ,sr-39,sentido de circulacion doble 
Señal reglamentaria ,sr-40 ,paradero     
Señal reglamentaria ,sr-41 ,prohibido dejar o recoger pasajeros 
Señal reglamentaria ,sr-42 ,zona de cargue y descargue
Señal reglamentaria ,sr-43 ,prohibido el cargue y descargue
Señal reglamentaria ,sr-44,conservar espaciamiento 
Señal reglamentaria ,sr- 45 , indicacion separador de transito a la izquierda
Señal reglamentaria ,sr-46,indicacion separador de transito a la derecha
Señal reglamentaria ,sr-47,no bloquear cruce 
Señal reglamentaria ,sr-48 ,fin prohibicion de adelantamiento
Señal reglamentaria ,sr-49 ,preferencia al sentido contrario 
Señal reglamentaria ,sr-50,prohibido girar a la derecha con luz roja
Señal reglamentaria ,sr-51 ,circulacion prohibida de carros de mano 
Señal reglamentaria ,sr-52,circulacion prohibida de buses 
Señal reglamentaria ,sr-53 ,circulacion prohibida de motocarros 
Señal reglamentaria ,sr-54 ,circulacion prohibida de cuantrimotos 
Señales reglamentarias-Facilidades para ciclistas,src-01 ,conserve la derecha 
Señales reglamentarias-Facilidades para ciclistas,src-02 ,obligatorio descender de la bicicleta 
Señales reglamentarias-Facilidades para ciclistas,src-03,circulacion no compartida 
Señales reglamentarias-Facilidades para ciclistas,src-04 ,circulacion prohibida de mascostas 
Señales reglamentarias-Facilidades para ciclistas,src-05 ,circulacion compartida
Señales reglamentarias-Facilidades para motociclistas,srm-01 ,solo motocicletas 
Señal Preventiva,sp-01 ,curva cerrada a la izquierda
Señal Preventiva,sp-02 ,curva cerrada a la derecha 
Señal Preventiva,sp-03 ,curva pronunciada a la izquierda 
Señal Preventiva,sp-04 ,curva pronunciada a la derecha
Señal Preventiva,sp-05 ,curva y contra curva cerrrada primera a la izquierda
Señal Preventiva,sp-06 ,curva y contra curva cerrrada primera a la derecha
Señal Preventiva,sp-07,zona de curvas sucesivas a la primera a la izquierda
Señal Preventiva,sp-08 ,zona de curvas sucesivas a la primera a la derecha
Señal Preventiva,sp-09 ,curva y contracurva pronunciada primera a la izquierda
Señal Preventiva,sp-10 ,curva y contracurva pronunciada primera a la derecha
Señal Preventiva,sp-11 ,interseccion de vias 
Señal Preventiva,sp-12,via lateral izquierda 
Señal Preventiva,sp-13 ,via lateral derecha
Señal Preventiva,sp-14,interseccion en t
Señal Preventiva,sp-15 ,interseccion en “y”
Señal Preventiva,sp-16 ,bifurcacion a la izquierda 
Señal Preventiva,sp-17 ,bifurcacion a la derecha
Señal Preventiva,sp-18 ,interseccion escalonada primera a la izquierda 
Señal Preventiva,sp-19 ,interseccion escalonada primera a la derecha
Señal Preventiva,sp-20 ,glorieta 
